country,year,program,process_family,entries,total_entries,reported_entries,share_all,share_reported,coverage_rate
Nicaragua,2010,Not classified,Not reported,27,27,0,1,NA,0
Nicaragua,2011,Not classified,Not reported,27,27,0,1,NA,0
Nicaragua,2012,Not classified,Not reported,25,25,0,1,NA,0
Nicaragua,2014,Not classified,Not reported,25,25,0,1,NA,0
Nicaragua,2015,Not classified,Not reported,36,36,0,1,NA,0
Nicaragua,2017,Not classified,Not reported,28,28,0,1,NA,0
Nicaragua,2018,Not classified,Honey / pulped natural,7,40,40,0.175,0.175,1
Nicaragua,2018,Not classified,Natural,7,40,40,0.175,0.175,1
Nicaragua,2018,Not classified,Washed,26,40,40,0.65,0.65,1
Nicaragua,2021,COE,Experimental,1,23,23,0.043478260869565216,0.043478260869565216,1
Nicaragua,2021,COE,Honey / pulped natural,5,23,23,0.21739130434782608,0.21739130434782608,1
Nicaragua,2021,COE,Natural,7,23,23,0.30434782608695654,0.30434782608695654,1
Nicaragua,2021,COE,Washed,10,23,23,0.43478260869565216,0.43478260869565216,1
Nicaragua,2021,NW,Honey / pulped natural,2,9,9,0.2222222222222222,0.2222222222222222,1
Nicaragua,2021,NW,Natural,1,9,9,0.1111111111111111,0.1111111111111111,1
Nicaragua,2021,NW,Washed,6,9,9,0.6666666666666666,0.6666666666666666,1
Nicaragua,2022,COE,Honey / pulped natural,4,26,26,0.15384615384615385,0.15384615384615385,1
Nicaragua,2022,COE,Natural,12,26,26,0.46153846153846156,0.46153846153846156,1
Nicaragua,2022,COE,Washed,10,26,26,0.38461538461538464,0.38461538461538464,1
Nicaragua,2022,NW,Honey / pulped natural,1,11,11,0.09090909090909091,0.09090909090909091,1
Nicaragua,2022,NW,Natural,2,11,11,0.18181818181818182,0.18181818181818182,1
Nicaragua,2022,NW,Washed,8,11,11,0.7272727272727273,0.7272727272727273,1
Nicaragua,2023,COE,Honey / pulped natural,1,16,16,0.0625,0.0625,1
Nicaragua,2023,COE,Natural,6,16,16,0.375,0.375,1
Nicaragua,2023,COE,Washed,9,16,16,0.5625,0.5625,1
Nicaragua,2023,NW,Natural,2,9,9,0.2222222222222222,0.2222222222222222,1
Nicaragua,2023,NW,Washed,7,9,9,0.7777777777777778,0.7777777777777778,1
Nicaragua,2024,COE,Honey / pulped natural,2,30,30,0.06666666666666667,0.06666666666666667,1
Nicaragua,2024,COE,Natural,10,30,30,0.3333333333333333,0.3333333333333333,1
Nicaragua,2024,COE,Washed,18,30,30,0.6,0.6,1
Nicaragua,2025,COE,Honey / pulped natural,1,30,30,0.03333333333333333,0.03333333333333333,1
Nicaragua,2025,COE,Natural,14,30,30,0.4666666666666667,0.4666666666666667,1
Nicaragua,2025,COE,Washed,15,30,30,0.5,0.5,1
Peru,2017,Not classified,Not reported,24,24,0,1,NA,0
Peru,2018,Not classified,Washed,24,24,24,1,1,1
Peru,2019,Not classified,Honey / pulped natural,1,24,24,0.041666666666666664,0.041666666666666664,1
Peru,2019,Not classified,Washed,23,24,24,0.9583333333333334,0.9583333333333334,1
Peru,2021,COE,Natural,7,24,24,0.2916666666666667,0.2916666666666667,1
Peru,2021,COE,Washed,17,24,24,0.7083333333333334,0.7083333333333334,1
Peru,2021,NW,Natural,1,7,7,0.14285714285714285,0.14285714285714285,1
Peru,2021,NW,Washed,6,7,7,0.8571428571428571,0.8571428571428571,1
Peru,2022,COE,Natural,5,29,29,0.1724137931034483,0.1724137931034483,1
Peru,2022,COE,Washed,24,29,29,0.8275862068965517,0.8275862068965517,1
Peru,2022,NW,Washed,5,5,5,1,1,1
Peru,2023,COE,Experimental,2,30,30,0.06666666666666667,0.06666666666666667,1
Peru,2023,COE,Honey / pulped natural,1,30,30,0.03333333333333333,0.03333333333333333,1
Peru,2023,COE,Natural,7,30,30,0.23333333333333334,0.23333333333333334,1
Peru,2023,COE,Washed,20,30,30,0.6666666666666666,0.6666666666666666,1
Peru,2023,NW,Washed,7,7,7,1,1,1
Peru,2024,COE,Natural,6,25,25,0.24,0.24,1
Peru,2024,COE,Washed,19,25,25,0.76,0.76,1
Peru,2024,NW,Washed,7,7,7,1,1,1
Peru,2025,COE,Honey / pulped natural,1,30,30,0.03333333333333333,0.03333333333333333,1
Peru,2025,COE,Natural,6,30,30,0.2,0.2,1
Peru,2025,COE,Washed,23,30,30,0.7666666666666667,0.7666666666666667,1
Peru,2025,NW,Natural,1,3,3,0.3333333333333333,0.3333333333333333,1
Peru,2025,NW,Washed,2,3,3,0.6666666666666666,0.6666666666666666,1
Rwanda,2008,Not classified,Not reported,24,24,0,1,NA,0
Rwanda,2010,Not classified,Not reported,22,22,0,1,NA,0
Rwanda,2011,Not classified,Not reported,36,36,0,1,NA,0
Rwanda,2012,Not classified,Not reported,26,26,0,1,NA,0
Rwanda,2013,Not classified,Not reported,15,15,0,1,NA,0
Rwanda,2014,Not classified,Not reported,28,28,0,1,NA,0
Rwanda,2015,Not classified,Not reported,24,24,0,1,NA,0
Rwanda,2018,Not classified,Not reported,1,32,31,0.03125,NA,0.96875
Rwanda,2018,Not classified,Washed,31,32,31,0.96875,1,0.96875
Taiwan,2024,COE,Honey / pulped natural,3,20,20,0.15,0.15,1
Taiwan,2024,COE,Natural,13,20,20,0.65,0.65,1
Taiwan,2024,COE,Washed,4,20,20,0.2,0.2,1
Taiwan,2024,NW,Natural,3,5,5,0.6,0.6,1
Taiwan,2024,NW,Washed,2,5,5,0.4,0.4,1
Taiwan,2025,COE,Honey / pulped natural,7,27,27,0.25925925925925924,0.25925925925925924,1
Taiwan,2025,COE,Natural,14,27,27,0.5185185185185185,0.5185185185185185,1
Taiwan,2025,COE,Washed,6,27,27,0.2222222222222222,0.2222222222222222,1
Thailand,2023,COE,Experimental,1,16,16,0.0625,0.0625,1
Thailand,2023,COE,Honey / pulped natural,5,16,16,0.3125,0.3125,1
Thailand,2023,COE,Natural,8,16,16,0.5,0.5,1
Thailand,2023,COE,Washed,2,16,16,0.125,0.125,1
Thailand,2023,NW,Honey / pulped natural,2,8,8,0.25,0.25,1
Thailand,2023,NW,Natural,4,8,8,0.5,0.5,1
Thailand,2023,NW,Washed,2,8,8,0.25,0.25,1
Thailand,2024,COE,Honey / pulped natural,7,27,27,0.25925925925925924,0.25925925925925924,1
Thailand,2024,COE,Natural,15,27,27,0.5555555555555556,0.5555555555555556,1
Thailand,2024,COE,Washed,5,27,27,0.18518518518518517,0.18518518518518517,1
Thailand,2024,NW,Honey / pulped natural,1,4,4,0.25,0.25,1
Thailand,2024,NW,Natural,1,4,4,0.25,0.25,1
Thailand,2024,NW,Washed,2,4,4,0.5,0.5,1
Thailand,2025,COE,Experimental,2,21,21,0.09523809523809523,0.09523809523809523,1
Thailand,2025,COE,Honey / pulped natural,7,21,21,0.3333333333333333,0.3333333333333333,1
Thailand,2025,COE,Natural,10,21,21,0.47619047619047616,0.47619047619047616,1
Thailand,2025,COE,Washed,2,21,21,0.09523809523809523,0.09523809523809523,1
Thailand,2025,NW,Honey / pulped natural,1,7,7,0.14285714285714285,0.14285714285714285,1
Thailand,2025,NW,Natural,5,7,7,0.7142857142857143,0.7142857142857143,1
Thailand,2025,NW,Washed,1,7,7,0.14285714285714285,0.14285714285714285,1
